"filename", "language", "Markdown", "Swift", "C++", "XML", "JSON", "Dart", "HTML", "YAML", "Java Properties", "Groovy", "comment", "blank", "total"
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\.github\workflows\dart.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 17, 10, 42
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\README.md", "Markdown", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\SECURITY.md", "Markdown", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\arduino\engine_tester\engines\engines.ino", "C++", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 1, 7, 35
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\arduino\robot_maze_solver\robot_maze_solver.ino", "C++", 0, 0, 131, 0, 0, 0, 0, 0, 0, 0, 15, 32, 178
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\arduino\simple_bluetooth_data_receiver\simple_bluetooth_data_receiver.ino", "C++", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 5, 18
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 22, 4, 29
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 5, 12, 70
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 1, 8
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 10, 4, 50
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 1, 8
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 5, 32
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\android\gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 5, 21
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\ios\Runner\AppDelegate.swift", "Swift", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
